City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
153,Caucaia,BR,2020-11-09 03:08:51,-3.74,-38.65,80.6,83,75,14.99
154,Tumut,AU,2020-11-09 03:08:51,-35.3,148.22,71.82,54,1,6.15
155,Bengkulu,ID,2020-11-09 03:08:51,-3.8,102.27,82.13,76,98,2.53
156,Carnarvon,AU,2020-11-09 03:08:51,-24.87,113.63,75.2,57,75,10.29
157,Sinnamary,GF,2020-11-09 03:08:51,5.38,-52.95,78.53,84,0,10.8
158,Beloslav,BG,2020-11-09 03:08:51,43.18,27.7,48.2,87,0,2.24
159,Passo Fundo,BR,2020-11-09 03:08:52,-28.26,-52.41,63.3,90,80,11.07
160,Areia Branca,BR,2020-11-09 03:08:52,-4.96,-37.14,77.79,76,2,17.98
161,Pangnirtung,CA,2020-11-09 03:08:52,66.15,-65.71,7.77,82,17,3.94
162,Charters Towers,AU,2020-11-09 03:08:52,-20.1,146.27,87.37,37,64,18.39
163,Ilulissat,GL,2020-11-09 03:08:53,69.22,-51.1,14.0,61,100,4.7
164,Cordoba,AR,2020-11-09 03:08:53,-31.41,-64.18,66.99,87,75,4.7
165,Jalu,LY,2020-11-09 03:08:53,29.03,21.55,57.34,77,0,9.06
166,Katsuura,JP,2020-11-09 03:08:53,35.13,140.3,61.0,38,75,8.05
167,Hofn,IS,2020-11-09 03:08:53,64.25,-15.21,41.22,79,100,11.07
168,Lyuban,BY,2020-11-09 03:08:54,52.8,28.0,38.7,95,0,4.59
169,Cabedelo,BR,2020-11-09 03:08:54,-6.98,-34.83,75.2,100,75,8.05
170,Turukhansk,RU,2020-11-09 03:08:54,65.82,87.98,32.88,98,100,16.08
171,Yellowknife,CA,2020-11-09 03:06:01,62.46,-114.35,28.4,79,75,14.99
172,Cabo San Lucas,MX,2020-11-09 03:08:54,22.89,-109.91,78.8,73,5,16.11
173,Khatanga,RU,2020-11-09 03:08:54,71.97,102.5,9.86,91,100,17.4
174,Havre,FR,2020-11-09 03:08:54,49.58,0.33,55.4,93,0,5.82
175,Teguise,ES,2020-11-09 03:08:55,29.06,-13.56,64.4,88,0,5.82
176,College,US,2020-11-09 03:08:55,64.86,-147.8,33.8,86,90,4.7
177,Ayan,RU,2020-11-09 03:08:55,56.45,138.17,8.85,87,0,17.13
178,Riyadh,SA,2020-11-09 03:07:06,24.69,46.72,66.2,63,0,2.24
179,Umba,RU,2020-11-09 03:08:55,66.69,34.34,34.36,85,100,12.57
180,Kosh-Agach,RU,2020-11-09 03:08:55,50.0,88.67,26.28,89,99,2.57
181,Abu Dhabi,AE,2020-11-09 03:08:56,24.47,54.37,77.0,78,0,1.12
182,Japura,ID,2020-11-09 03:08:56,-0.32,102.35,88.56,59,97,2.17
183,Kahului,US,2020-11-09 03:04:02,20.89,-156.47,86.0,51,40,25.28
